

5059 2014-11-08 23:48:54,305 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -B=Yes
5059 2014-11-08 23:48:54,305 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -B=Yes
24152 2014-11-08 23:49:13,398 [main] INFO  GetHTML  - sLocalUrlYahooFinanceIntelHistoricalGeneric=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=INTC&d=09&e=31&f=2014&g=d&a=09&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - Completed:getHTML response length=90
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_23:48:49.txt
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
24225 2014-11-08 23:49:13,471 [main] DEBUG GetHTML  - Begin out->DB 
25024 2014-11-08 23:49:14,270 [main] INFO  p6spy  - 1415508554269|6|statement|connection 1|INSERT INTO HistoricalStockPrice  (MarketDate, OpenPrice, HighPrice, Low, Close, Volume, AdjClose, Symbol)  VALUES  (  '2014-10-31','33.74','34.01','32.63','34.01','52089700','33.79','INTC'  ) |INSERT INTO HistoricalStockPrice  (MarketDate, OpenPrice, HighPrice, Low, Close, Volume, AdjClose, Symbol)  VALUES  (  '2014-10-31','33.74','34.01','32.63','34.01','52089700','33.79','INTC'  ) 
25024 2014-11-08 23:49:14,270 [main] DEBUG GetHTML  - End  out->DB 
25024 2014-11-08 23:49:14,270 [main] INFO  GetHTML  - Time: Ending   (main)
0    2014-11-08 23:49:19,277 [main] INFO  GetHTML  - Time: Starting (main)
2    2014-11-08 23:49:19,279 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 23:49:19,279 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
2    2014-11-08 23:49:19,279 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
2    2014-11-08 23:49:19,279 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
2    2014-11-08 23:49:19,279 [main] DEBUG GetHTML  - CommandLineParms: Output File
3    2014-11-08 23:49:19,280 [main] DEBUG GetHTML  - Append GUID or TimeStamp to the end of the filename
3    2014-11-08 23:49:19,280 [main] DEBUG GetHTML  - CommandLineParms: URLs 3 left most chars sLeftMostCommandLineParameter=-U=
3    2014-11-08 23:49:19,280 [main] DEBUG GetHTML  - CommandLineParms: URLs sCommandLineParameter=-U=http://madmoney.thestreet.com/screener/index.cfm
3    2014-11-08 23:49:19,280 [main] DEBUG GetHTML  - CommandLineParms: Output DB
3    2014-11-08 23:49:19,280 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
102  2014-11-08 23:49:19,379 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv iReturn=1(1 is successful)
102  2014-11-08 23:49:19,379 [main] DEBUG GetHTML  - Completed:getHTML HTTP get was successful
102  2014-11-08 23:49:19,379 [main] DEBUG GetHTML  - Completed:getHTML response length=19
102  2014-11-08 23:49:19,379 [main] DEBUG GetHTML  - Begin out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
103  2014-11-08 23:49:19,380 [main] DEBUG GetHTML  - File Name=sPathAndFileName=/home/paul/workspace/dev/GetHTML/output/test11082014_23:49:19.txt
103  2014-11-08 23:49:19,380 [main] DEBUG GetHTML  - End  out->file sOutputFileName=/home/paul/workspace/dev/GetHTML/output/test.txt
103  2014-11-08 23:49:19,380 [main] INFO  GetHTML  - Time: Ending  getHTML (main) Ending   -U=http://download.finance.yahoo.com/d/quotes.txt?s=INTC&f=n&e=.csv
103  2014-11-08 23:49:19,380 [main] INFO  GetHTML  - Time: Staring getHTML (main) Starting -U=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv
179  2014-11-08 23:49:19,456 [main] DEBUG GetHTML  - Completed:getHTML sLocalURL=http://ichart.finance.yahoo.com/table.csv?s=YHOO&d=9&e=31&f=2014&g=d&a=9&b=31&c=2014&ignore=.csv iReturn=1(1 is successful)
